id,name,desc,available,lvl10,min_buff,max_buff
0,Rex,might be late,1/2/3,100%,10,11
1,07RRJ,"THIS IS MEEEEEE, all 5 accs available",1/2/3,100%,10,12
2,firecracker,hope will be first to join thx to previus armas,1/2/3,100%,10,15
3,Reiji,leavs town after arma on friday,1/2/-,100%,11,15
4,Tristan,might have work on friday,1/2/3,100%,10,14
5,Kage,YAY trusted council member,1/2/3,100%,12,15
6,Orange,still testing him but hes reliable,1/2/3,100%,10,10
7,Scrooge,"he is ready with his alt, also stabile internet",1/2/3,100%,10,10
8,lerroy,probably wont make thursday as usual,?/?/?,?,?,?
9,Nicen,doesnt comunicate but reliable,?/?/?,?,?,?
1000,Sage,usualy reliable just a bit scatter brained,1/2/3,?,?,?
1001,storman,ma right hand man,1/2/3,?,?,?
1002,Fils,usualy reliable,?/?/?,?,?,?
1003,Error,ERIIIIIIIIIK,1/2/3,100%,?,?
1004,Zordino,second guild leader,1/2/3,100%,10,10
1005,smurf,reliable but has none good blue teams,1/2/3,100%,10,?
1006,Krass,reliable but sikly,1/2/3,100%,10,10
1007,Rey,reliable,?/?/?,?,?,?
1008,Voice,work on thursday,-/2/3,?,?,?
1009,Ragnoti,reliable,?/?/?,?,?,?
1010,Stratogis,Will leave the guild after this arma,?/?/?,?,?,?
1011,Alec,very reliable,1/2/3,?,?,?
1012,Babatunde,whale but is asleep during arma....,-/-/-,?,?,?
1013,storman alt,storman alt acc for second guild,1/2/3,?,?,?
1014,Brenda,chilling,?/?/?,?,?,?
1015,b,og member,1/2/3,?,?,?
1016,Skuroshi,reliable,?/?/?,?,?,?
1017,Martin,zordinos irl friend aka reliable,?/?/?,?,?,?
